event_id,datetime,location,country,lat,lon,event_type,intensity,description,source,actor,target,casualties_ML,Killed,Killed_Civillians,Injured,Injured_Civillians,sentiment_ML,source_type_ML,strike_type_ML,is_retaliation_ML,confirmed_ML,indian_view,pakistani_view,global_view
20,07/05/2025,Ahmedpur East,Pakistan,29.14,71.26,Airstrike,High,"Indian airstrike killed 13 civilians, including two children, and injured 37.",https://tribune.com.pk/,India,Pakistani civilians,50,13,13,37,0,Negative,News,Aerial Bombardment,FALSE,TRUE,No specific mention of Ahmedpur East in Indian reporting. Indian officials reiterated that Operation Sindoor exclusively targeted terror infrastructure.,"Highlighted as a massacre of civilians, citing that women and children were among the dead. Used to strengthen Pakistan’s position that India’s strikes were disproportionate and unlawful.","This specific strike was not isolated in international media, though the casualty figures contributed to broader condemnation and calls for restraint."
24,07/05/2025,Ahmedpur East,Pakistan,29.14,71.26,Airstrike,High,"Indian airstrike killed 13 civilians including two 3-year-old girls, seven women, and four men; 37 injured.",https://tribune.com.pk/,India,Pakistani civilians,50,13,13,37,0,Negative,News Media,Missile/Air/Drone Strike,FALSE,TRUE,Indian authorities did not acknowledge this specific strike. Continued to claim all actions were precise and limited to terrorist infrastructure,"Heavily emphasized the civilian toll—particularly the deaths of children and women—as evidence of India's ""indiscriminate and disproportionate aggression.""","Although this strike wasn't cited individually, casualty figures were echoed in international reports urging both sides to de-escalate."
29,07/05/2025,Ahmedpur East,Pakistan,29.14,71.26,airstrike,high,"13 civilians martyred including children and women, 37 injured in Indian airstrike on mosque",https://www.thenews.com.pk/latest/1309099-three-martyred-12-injured-in-indian-strikes-on-pakistani-cities,India,Pakistan civilians,50,13,13,37,0,negative,news,airstrike,FALSE,TRUE,No Indian media acknowledged this mosque strike. The official stance remained that no civilian infrastructure was targeted.,Framed as a deliberate and brutal attack on a place of worship. Pakistani outlets emphasized the term “martyrdom” and highlighted the high civilian toll to portray the act as a war crime.,"This specific incident was not reported in global media, but its details contributed to growing international concern about civilian targeting."
45,07/05/2025,Ankara,Turkey,39.92,32.85,Diplomatic Support,Medium,Turkey and Azerbaijan issued official statements backing Pakistan following Operation Sindoor. Turkey condemned India's strikes and warned against escalation. Qatar urged restraint.,https://www.hindustantimes.com/india-news/turkey-azerbaijan-back-pakistan-after-operation-sindoor-qatar-urges-restraint-101746616080495.html,"Turkey, Azerbaijan, Qatar",India,0,0,0,0,0,Negative towards India,News,Diplomatic,FALSE,TRUE,Indian media framed these statements as predictable geopolitical alignments. Emphasized India's sovereign right to defend against terrorism.,Welcomed the diplomatic support as validation of Pakistan’s position and international concern over Indian aggression.,"The international reaction was mixed—while some regional allies supported Pakistan, Western governments and the UN primarily called for de-escalation without taking sides."
3,07/05/2025,Bahawalpur,Pakistan,29.4,71.68,Airspace Incursion,High,"Suspected IAF jets breached Pakistani airspace near Bahawalpur, triggering alert.",Express Tribune,-,-,-,0,0,0,0,-,-,-,-,-,(No official Indian acknowledgement or reporting on Bahawalpur airspace breach at this time.),"Pakistani media framed the incident as a violation of national airspace, suggesting the strike may have been part of a broader offensive targeting civilian areas including family members of Jaish-e-Mohammed leaders.",(No global reports on this specific airspace incursion available.)
11,2025-05-06T23:59:00+05:00,Bahawalpur,Pakistan,29.4,71.68,Airstrike,High,"India launched missile strikes on 9 locations in Pakistan, including Kotli, Bahawalpur, Muridke, and Muzaffarabad, claiming to target terrorist infrastructure. Pakistan reported civilian casualties and damage to residential areas and mosques.",https://www.thetimes.com/world/asia/article/india-air-strike-pakistan-operation-sindoor-latest-news-vfnvvj7n3,India,Pakistan,"8 killed (5 civilians), 35 injured (31 civilians)",8,5,35,31,Negative,News,Missile,FALSE,TRUE,"Indian military launched ""Operation Sindoor"" as a precision strike campaign targeting terrorist camps linked to the April 22 Pahalgam attack. Officials claimed strict avoidance of civilian zones.","Reported significant civilian casualties, including women and children. Framed the attacks as unprovoked aggression and violations of sovereignty, with multiple mosques and homes hit.","The Times confirmed strikes and cited both sides, highlighting the civilian toll and regional destabilization risk."
12,2025-05-07T01:02:00+05:00,Bahawalpur,Pakistan,29.4,71.68,Retaliatory Strike / Air Defense,Medium,Pakistan shot down two Indian jets and claimed to have targeted Indian brigade HQ in a retaliatory strike following Indian airstrikes.,https://www.thetimes.com/world/asia/article/india-air-strike-pakistan-operation-sindoor-latest-news-vfnvvj7n3,Pakistan,India,"Unconfirmed aircraft downing, unknown casualties",0,0,0,0,Defensive,News,Air Defense / Counterattack,TRUE,Partially,Indian sources did not confirm the downing of any aircraft or retaliatory damage; maintained that Operation Sindoor was completed with surgical precision.,"Framed the action as a justified and proportionate retaliation to India’s airstrikes, highlighting the targeting of military infrastructure rather than civilians.",International media like The Times reported Pakistan’s retaliation claims but noted lack of verification on Indian losses.
15,2025-05-07T01:00:00+05:00,Bahawalpur,Pakistan,29.4,71.68,Airstrike,High,"India launched targeted missile strikes on alleged terrorist infrastructure in Pakistan and Pakistan-administered Kashmir. Pakistani authorities reported 26 civilian deaths including women and children, and claimed two Indian jets were downed. A mosque was reportedly hit in Bahawalpur. Pakistan closed its airspace and vowed retaliation.",https://www.bild.de/politik/kaschmir-konflikt-indien-fliegt-luftangriffe-auf-ziele-in-pakistan-681a74621b2a57670fbec4a8,India,Pakistan,"26 civilians killed, 46 injured (Pakistan)",26,26,46,0,Negative,News,Missile,FALSE,TRUE,"Framed the strikes as part of a surgical anti-terror operation, claiming high precision and denial of civilian targeting. No confirmation of mosque damage or aircraft losses.","Condemned the strikes as a massacre, reporting 26 civilian deaths including women and children. Highlighted that a mosque in Bahawalpur was hit and announced the closure of Pakistani airspace.","Bild.de echoed Pakistani casualty figures and mosque damage. While reporting India’s justification, the tone leaned toward concern over humanitarian fallout."
17,07/05/2025,Bahawalpur,Pakistan,29.39,71.68,airstrike,high,"Indian strike on Bahawalpur killed 13, including children and women; 37 injured.",https://www.dawn.com/,India,Civilians,50,13,13,37,0,negative,news,airstrike,FALSE,TRUE,No Indian media confirmed the incident in Bahawalpur. Indian officials continued asserting that only militant camps were targeted.,"Framed as a deliberate attack on civilians, especially noting the death of women and children. Cited this as evidence of indiscriminate targeting by India.","No global outlets directly reported this specific strike, though cumulative casualty figures were cited in broader conflict summaries."
20,07/05/2025,Bahawalpur,Pakistan,29.39,71.68,Airstrike,High,"Indian airstrike killed 13 civilians, including two children, and injured 37.",https://tribune.com.pk/,India,Pakistani civilians,50,13,13,37,0,Negative,News,Aerial Bombardment,FALSE,TRUE,No specific mention of Ahmedpur East in Indian reporting. Indian officials reiterated that Operation Sindoor exclusively targeted terror infrastructure.,"Highlighted as a massacre of civilians, citing that women and children were among the dead. Used to strengthen Pakistan’s position that India’s strikes were disproportionate and unlawful.","This specific strike was not isolated in international media, though the casualty figures contributed to broader condemnation and calls for restraint."
